"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0U890","2020-04-19 00:00:00","116.000","275.000","2.000","22.400","0.990","1002.200","","0.000","-99.000","-99.000","-99.000","27.300","","19.400",""
"C0F860","2020-04-19 00:00:00","2215.000","188.000","0.800","13.400","0.490","783.600","","0.000","-99.000","-99.000","-99.000","19.700","","10.800",""
"CM0170","2020-04-19 00:00:00","106.000","95.000","1.700","23.600","0.910","1003.100","","0.000","-99.000","-99.000","-99.000","30.100","","18.900",""
"C0B020","2020-04-19 00:00:00","86.000","0.000","0.000","22.500","0.870","1002.500","","0.500","-99.000","-99.000","-99.000","28.300","","20.100",""
"C0I390","2020-04-19 00:00:00","1184.000","88.000","1.400","16.200","0.780","887.900","","0.000","-99.000","-99.000","-99.000","24.100","","12.200",""
"C0T9D0","2020-04-19 00:00:00","7.000","0.000","0.000","22.400","0.960","1014.300","","0.000","-99.000","-99.000","-99.000","30.200","","19.600",""
"C0C460","2020-04-19 00:00:00","482.000","0.000","0.000","20.200","0.890","960.700","","0.000","-99.000","-99.000","-99.000","26.800","","16.900",""
"C0AI40","2020-04-19 00:00:00","37.000","154.000","0.900","24.500","0.760","1009.900","","0.000","-99.000","-99.000","-99.000","28.600","","21.200",""
"C0O930","2020-04-19 00:00:00","69.000","62.000","0.900","24.500","0.940","1005.600","","0.000","-99.000","-99.000","-99.000","34.600","","18.500",""
"C0T870","2020-04-19 00:00:00","135.000","0.000","0.000","20.600","0.990","999.000","","3.500","-99.000","-99.000","-99.000","27.900","","16.600",""
"C0A920","2020-04-19 00:00:00","196.000","131.000","0.900","22.700","0.860","991.000","","0.000","-99.000","-99.000","-99.000","26.700","","20.300",""
"C0A940","2020-04-19 00:00:00","49.000","0.000","0.000","21.900","0.950","1008.600","","0.000","-99.000","-99.000","-99.000","26.700","","18.100",""
"C0S740","2020-04-19 00:00:00","289.000","0.000","0.000","21.200","0.970","983.200","","0.000","-99.000","-99.000","-99.000","27.500","","18.200",""
"C0U980","2020-04-19 00:00:00","573.000","0.000","0.000","19.800","0.980","951.100","","0.000","-99.000","-99.000","-99.000","26.100","","15.900",""
"C0V250","2020-04-19 00:00:00","298.000","107.000","1.000","22.500","0.920","980.000","","0.000","-99.000","-99.000","-99.000","34.700","","17.300",""
"C0AH70","2020-04-19 00:00:00","34.000","0.000","0.000","24.100","0.720","1010.400","","0.000","-99.000","-99.000","-99.000","29.500","","21.000",""
"C0M760","2020-04-19 00:00:00","40.000","98.000","0.400","25.300","0.820","1009.400","","0.000","-99.000","-99.000","-99.000","31.400","","20.600",""
